User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM28,About,NN,0.9125,0.53333,1,0.69565
DM28,And,DT,0.95,0.83333,0.625,0.71429
DM28,And,SVM,0.95,1,0.5,0.66667
DM28,And,NN,0.9625,1,0.625,0.76923
DM28,Can,DT,1,1,1,1
DM28,Can,SVM,1,1,1,1
DM28,Can,NN,1,1,1,1
DM28,Cop,DT,0.9,0.5,0.375,0.42857
DM28,Cop,SVM,0.9625,1,0.625,0.76923
DM28,Cop,NN,0.8875,0.44444,0.5,0.47059
DM28,Deaf,DT,0.9625,0.72727,1,0.84211
DM28,Deaf,SVM,1,1,1,1
DM28,Deaf,NN,0.9875,0.88889,1,0.94118
DM28,Decide,DT,1,1,1,1
DM28,Decide,SVM,1,1,1,1
DM28,Decide,NN,1,1,1,1
DM28,Father,DT,0.9625,0.72727,1,0.84211
DM28,Father,SVM,1,1,1,1
DM28,Father,NN,1,1,1,1
DM28,Find,DT,0.975,0.875,0.875,0.875
DM28,Find,SVM,0.9625,1,0.625,0.76923
DM28,Find,NN,0.9375,0.71429,0.625,0.66667
DM28,GoOut,DT,1,1,1,1
DM28,GoOut,SVM,1,1,1,1
DM28,GoOut,NN,1,1,1,1
DM28,Hearing,DT,0.9125,0.6,0.375,0.46154
DM28,Hearing,SVM,0.975,1,0.75,0.85714
DM28,Hearing,NN,0.95,0.75,0.75,0.75
DM29,About,DT,0.85897,0.33333,0.375,0.35294
DM29,About,SVM,0.98718,1,0.875,0.93333
DM29,About,NN,0.92308,1,0.25,0.4
DM29,And,DT,0.97436,1,0.75,0.85714
DM29,And,SVM,0.97436,1,0.75,0.85714
DM29,And,NN,0.98718,1,0.875,0.93333
DM29,Can,DT,1,1,1,1
DM29,Can,SVM,1,1,1,1
DM29,Can,NN,0.97436,0.8,1,0.88889
DM29,Cop,DT,0.91026,0.53333,1,0.69565
DM29,Cop,SVM,0.96154,1,0.625,0.76923
DM29,Cop,NN,0.91026,0.53846,0.875,0.66667
DM29,Deaf,DT,1,1,1,1
DM29,Deaf,SVM,0.97436,1,0.66667,0.8
DM29,Deaf,NN,0.97436,0.75,1,0.85714
DM29,Decide,DT,0.98718,1,0.875,0.93333
DM29,Decide,SVM,1,1,1,1
DM29,Decide,NN,0.97436,0.875,0.875,0.875
DM29,Father,DT,0.98718,1,0.875,0.93333
DM29,Father,SVM,0.97436,1,0.75,0.85714
DM29,Father,NN,0.96154,0.77778,0.875,0.82353
DM29,Find,DT,0.97436,1,0.75,0.85714
DM29,Find,SVM,1,1,1,1
DM29,Find,NN,1,1,1,1
DM29,GoOut,DT,0.97436,1,0.75,0.85714
DM29,GoOut,SVM,0.96154,1,0.625,0.76923
DM29,GoOut,NN,0.97436,1,0.75,0.85714
DM29,Hearing,DT,0.9359,0.8,0.5,0.61538
DM29,Hearing,SVM,0.98718,1,0.875,0.93333
DM29,Hearing,NN,0.88462,0.44444,0.5,0.47059
DM31,About,DT,0.93243,0.8,0.5,0.61538
